rearing_day,pond,size,pond_size_rai,fish_amount
1,a,1000,18,330000
59,a,41,18,330000
88,a,26.4,18,330000
121,a,12.7,18,330000
150,a,8.3,18,330000
180,a,6.5,18,330000
211,a,5.6,18,330000
242,a,4.9,18,330000
272,a,4.3,18,330000
303,a,3.8,18,330000
1,b,1000,8,190000
59,b,49.5,8,190000
88,b,26.2,8,190000
121,b,13.2,8,190000
150,b,10.2,8,190000
180,b,7.9,8,190000
211,b,6.4,8,190000
242,b,5.5,8,190000
272,b,4.8,8,190000
303,b,4.3,8,190000
1,c,1000,5,120000
59,c,30.7,5,120000
88,c,16.8,5,120000
121,c,12.4,5,120000
150,c,9.2,5,120000
180,c,7.2,5,120000
211,c,6.2,5,120000
242,c,5.4,5,120000
272,c,4.7,5,120000
303,c,4.2,5,120000
1,d,1000,7,150000
59,d,22.6,7,150000
88,d,18.9,7,150000
121,d,11.9,7,150000
150,d,10.2,7,150000
180,d,7.7,7,150000
211,d,6.3,7,150000
242,d,5.4,7,150000
272,d,4.8,7,150000
303,d,4.3,7,150000
